panel,mode,engine,run,x,a,b,viol
hash,read,txn_hlist,2,1,0.7,0.97,0
hash,read,txn_hlist,2,2,1.3,0.99,0
hash,read,txn_hlist,2,4,2.7,1.00,0
hash,read,txn_hlist,2,8,5.5,0.59,0
hash,read,txn_hlist,2,16,10.9,0.59,0
hash,read,txn_hlist,2,32,21.8,0.57,0
hash,read,txn_hlist,2,64,43.1,0.56,0
hash,read,txn_hlist,2,96,64.1,0.44,0
hash,read,txn_hlist,2,128,85.1,0.45,0
hash,read,txn_hlist,2,160,106.6,0.49,0
hash,read,txn_hlist,2,191,125.0,0.59,0
hash,read,rlu_defer,1,1,0.7,1.19,0
hash,read,rlu_defer,1,2,1.4,1.15,0
hash,read,rlu_defer,1,4,2.8,1.11,0
hash,read,rlu_defer,1,8,5.5,0.66,0
hash,read,rlu_defer,1,16,11.0,0.65,0
hash,read,rlu_defer,1,32,21.9,0.61,0
hash,read,rlu_defer,1,64,43.2,0.57,0
hash,read,rlu_defer,1,96,63.5,0.47,0
hash,read,rlu_defer,1,128,84.8,0.49,0
hash,read,rlu_defer,1,160,105.8,0.48,0
hash,read,rlu_defer,1,191,124.3,0.57,0
hash,read,rlu_defer,2,1,0.7,1.18,0
hash,read,rlu_defer,2,2,1.4,1.15,0
hash,read,rlu_defer,2,4,2.8,1.12,0
hash,read,rlu_defer,2,8,5.5,0.65,0
hash,read,rlu_defer,2,16,11.0,0.64,0
hash,read,rlu_defer,2,32,21.8,0.60,0
hash,read,rlu_defer,2,64,43.1,0.58,0
hash,read,rlu_defer,2,96,63.6,0.50,0
hash,read,rlu_defer,2,128,85.2,0.44,0
hash,read,rlu_defer,2,160,106.1,0.44,0
hash,read,rlu_defer,2,191,124.5,0.57,0
hash,read,rlu_sync,1,1,0.7,0.09,0
hash,read,rlu_sync,1,2,1.5,0.09,0
hash,read,rlu_sync,1,4,3.0,0.09,0
hash,read,rlu_sync,1,8,5.9,0.08,0
hash,read,rlu_sync,1,16,11.8,0.07,0
hash,read,rlu_sync,1,32,23.6,0.07,0
hash,read,rlu_sync,1,64,46.7,0.06,0
hash,read,rlu_sync,1,96,68.2,0.06,0
hash,read,rlu_sync,1,128,91.5,0.06,0
hash,read,rlu_sync,1,160,114.6,0.05,0
hash,read,rlu_sync,1,191,135.6,0.06,0
hash,read,rlu_sync,2,1,0.7,0.09,0
hash,read,rlu_sync,2,2,1.5,0.09,0
hash,read,rlu_sync,2,4,3.0,0.09,0
hash,read,rlu_sync,2,8,5.9,0.08,0
hash,read,rlu_sync,2,16,11.8,0.07,0
hash,read,rlu_sync,2,32,23.6,0.07,0
hash,read,rlu_sync,2,64,46.7,0.06,0
hash,read,rlu_sync,2,96,68.2,0.06,0
hash,read,rlu_sync,2,128,91.3,0.05,0
hash,read,rlu_sync,2,160,114.3,0.05,0
hash,read,rlu_sync,2,191,135.4,0.06,0
