mode,engine,run,x,read_mvisits,write_mops,viol
mixed,rlu_defer,2,160,59957.8,0.52,0
mixed,rlu_defer,2,191,69759.0,0.44,0
readceil,rlu_sync,2,1,621.9,0,0
readceil,rlu_sync,2,2,1246.6,0,0
readceil,rlu_sync,2,4,2489.4,0,0
readceil,rlu_sync,2,8,4989.9,0,0
readceil,rlu_sync,2,16,9960.1,0,0
readceil,rlu_sync,2,32,19918.8,0,0
readceil,rlu_sync,2,64,37905.2,0,0
readceil,rlu_sync,2,96,48841.8,0,0
readceil,rlu_sync,2,128,68661.0,0,0
readceil,rlu_sync,2,160,88110.0,0,0
readceil,rlu_sync,2,191,98943.2,0,0
readceil,rlu_sync,2,192,99347.1,0,0
mixed,rlu_sync,2,1,534.0,0.03,0
mixed,rlu_sync,2,2,1070.3,0.03,0
mixed,rlu_sync,2,4,2144.4,0.03,0
mixed,rlu_sync,2,8,4230.1,0.03,0
mixed,rlu_sync,2,16,8418.7,0.03,0
mixed,rlu_sync,2,32,16631.2,0.02,0
mixed,rlu_sync,2,64,31237.0,0.02,0
mixed,rlu_sync,2,96,39890.7,0.02,0
mixed,rlu_sync,2,128,53932.3,0.02,0
mixed,rlu_sync,2,160,70045.7,0.02,0
mixed,rlu_sync,2,191,78391.2,0.02,0
readceil,mvrlu_list,2,1,293.6,0,0
readceil,mvrlu_list,2,2,545.6,0,0
readceil,mvrlu_list,2,4,1133.7,0,0
readceil,mvrlu_list,2,8,2276.3,0,0
readceil,mvrlu_list,2,16,4458.1,0,0
readceil,mvrlu_list,2,32,9060.4,0,0
readceil,mvrlu_list,2,64,17494.4,0,0
readceil,mvrlu_list,2,96,22813.2,0,0
readceil,mvrlu_list,2,128,31876.8,0,0
readceil,mvrlu_list,2,160,40985.7,0,0
readceil,mvrlu_list,2,191,46680.9,0,0
readceil,mvrlu_list,2,192,46950.6,0,0
mixed,mvrlu_list,2,1,228.7,2.68,0
mixed,mvrlu_list,2,2,490.2,2.52,0
mixed,mvrlu_list,2,4,1042.6,2.37,0
mixed,mvrlu_list,2,8,2101.1,0.73,0
mixed,mvrlu_list,2,16,4094.3,0.70,0
mixed,mvrlu_list,2,32,8281.1,0.63,0
mixed,mvrlu_list,2,64,15993.0,0.49,0
mixed,mvrlu_list,2,96,20991.9,0.35,0
