panel,alloc,engine,run,cores,nreaders,b,keys_per_sl,width,mmoves_s,ns_per_keymove,mqueries_s,hitpct
fixed,jemalloc,txn-mp1,2,192,0,20,3840,1,46.5747,4122.41,0,0
fixed,jemalloc,txn-mp1,3,192,0,20,3840,1,46.5226,4127.03,0,0
fixed,glibc,existence,1,192,0,20,3840,3,29.4948,6509.62,0,0
fixed,glibc,existence,2,192,0,20,3840,3,30.139,6370.49,0,0
fixed,glibc,existence,3,192,0,20,3840,3,29.9377,6413.32,0,0
fixed,glibc,txn-mp3,1,192,0,20,3840,3,41.7134,4602.84,0,0
fixed,glibc,txn-mp3,2,192,0,20,3840,3,39.9953,4800.56,0,0
fixed,glibc,txn-mp3,3,192,0,20,3840,3,40.5443,4735.56,0,0
fixed,glibc,txn-mp1,1,192,0,20,3840,1,46.2864,4148.09,0,0
fixed,glibc,txn-mp1,2,192,0,20,3840,1,46.6759,4113.47,0,0
fixed,glibc,txn-mp1,3,192,0,20,3840,1,46.1372,4161.5,0,0
size,jemalloc,existence,1,192,0,5,960,3,51.0115,3763.85,0,0
size,jemalloc,existence,2,192,0,5,960,3,50.6764,3788.74,0,0
size,jemalloc,existence,3,192,0,5,960,3,51.0473,3761.22,0,0
size,jemalloc,txn-mp3,1,192,0,5,960,3,19.866,9664.76,0,0
size,jemalloc,txn-mp3,2,192,0,5,960,3,19.5658,9813.03,0,0
size,jemalloc,txn-mp3,3,192,0,5,960,3,19.6571,9767.45,0,0
size,jemalloc,txn-mp1,1,192,0,5,960,1,28.0627,6841.83,0,0
size,jemalloc,txn-mp1,2,192,0,5,960,1,28.0726,6839.42,0,0
size,jemalloc,txn-mp1,3,192,0,5,960,1,28.0776,6838.2,0,0
size,jemalloc,existence,1,192,0,10,1920,3,63.7308,3012.67,0,0
size,jemalloc,existence,2,192,0,10,1920,3,63.492,3024,0,0
size,jemalloc,existence,3,192,0,10,1920,3,63.5286,3022.26,0,0
size,jemalloc,txn-mp3,1,192,0,10,1920,3,30.3433,6327.58,0,0
size,jemalloc,txn-mp3,2,192,0,10,1920,3,30.3932,6317.2,0,0
size,jemalloc,txn-mp3,3,192,0,10,1920,3,30.1618,6365.66,0,0
size,jemalloc,txn-mp1,1,192,0,10,1920,1,38.0647,5044.04,0,0
size,jemalloc,txn-mp1,2,192,0,10,1920,1,38.2262,5022.73,0,0
size,jemalloc,txn-mp1,3,192,0,10,1920,1,38.2046,5025.57,0,0
size,jemalloc,existence,1,192,0,20,3840,3,73.5283,2611.24,0,0
size,jemalloc,existence,2,192,0,20,3840,3,73.8048,2601.46,0,0
size,jemalloc,existence,3,192,0,20,3840,3,74.0211,2593.86,0,0
size,jemalloc,txn-mp3,1,192,0,20,3840,3,41.6115,4614.11,0,0
size,jemalloc,txn-mp3,2,192,0,20,3840,3,41.387,4639.14,0,0
size,jemalloc,txn-mp3,3,192,0,20,3840,3,41.2606,4653.35,0,0
size,jemalloc,txn-mp1,1,192,0,20,3840,1,46.4154,4136.55,0,0
size,jemalloc,txn-mp1,2,192,0,20,3840,1,46.6731,4113.72,0,0
size,jemalloc,txn-mp1,3,192,0,20,3840,1,46.7326,4108.48,0,0
size,jemalloc,existence,1,192,0,40,7680,3,79.6602,2410.24,0,0
size,jemalloc,existence,2,192,0,40,7680,3,79.8257,2405.24,0,0
size,jemalloc,existence,3,192,0,40,7680,3,79.3767,2418.85,0,0
size,jemalloc,txn-mp3,1,192,0,40,7680,3,48.474,3960.88,0,0
size,jemalloc,txn-mp3,2,192,0,40,7680,3,48.5407,3955.45,0,0
size,jemalloc,txn-mp3,3,192,0,40,7680,3,48.4444,3963.31,0,0
