panel,arm,cores,b,keys_per_sl,run,mmoves_s,ns_per_keymove,status
fixed,old-helping,64,60,3840,3,35.7801,1788.7,ok
fixed,old-helping,64,60,3840,4,35.8229,1786.57,ok
fixed,old-helping,64,60,3840,5,35.0155,1827.76,ok
fixed,pin-sole,64,60,3840,1,41.743,1533.19,ok
fixed,pin-sole,64,60,3840,2,41.8989,1527.49,ok
fixed,pin-sole,64,60,3840,3,41.8965,1527.57,ok
fixed,pin-sole,64,60,3840,4,41.7688,1532.24,ok
fixed,pin-sole,64,60,3840,5,41.8676,1528.63,ok
fixed,old-sole,96,40,3840,1,46.302,2073.34,ok
fixed,old-sole,96,40,3840,2,46.1093,2082.01,ok
fixed,old-sole,96,40,3840,3,46.1135,2081.82,ok
fixed,old-sole,96,40,3840,4,46.3342,2071.9,ok
fixed,old-sole,96,40,3840,5,46.1771,2078.95,ok
fixed,old-helping,96,40,3840,1,39.4594,2432.88,ok
fixed,old-helping,96,40,3840,2,39.3034,2442.54,ok
fixed,old-helping,96,40,3840,3,39.5071,2429.94,ok
fixed,old-helping,96,40,3840,4,39.5036,2430.16,ok
fixed,old-helping,96,40,3840,5,39.5251,2428.84,ok
fixed,pin-sole,96,40,3840,1,46.4614,2066.23,ok
fixed,pin-sole,96,40,3840,2,46.4241,2067.89,ok
fixed,pin-sole,96,40,3840,3,46.4769,2065.54,ok
fixed,pin-sole,96,40,3840,4,46.5546,2062.09,ok
fixed,pin-sole,96,40,3840,5,46.5183,2063.7,ok
fixed,old-sole,128,30,3840,1,42.3558,3022.01,ok
fixed,old-sole,128,30,3840,2,42.2124,3032.28,ok
fixed,old-sole,128,30,3840,3,42.1823,3034.45,ok
fixed,old-sole,128,30,3840,4,42.3402,3023.13,ok
fixed,old-sole,128,30,3840,5,42.225,3031.38,ok
fixed,old-helping,128,30,3840,1,35.9,3565.46,ok
fixed,old-helping,128,30,3840,2,35.9193,3563.54,ok
fixed,old-helping,128,30,3840,3,35.9664,3558.87,ok
fixed,old-helping,128,30,3840,4,35.9069,3564.78,ok
fixed,old-helping,128,30,3840,5,35.963,3559.21,ok
fixed,pin-sole,128,30,3840,1,43.2474,2959.71,ok
fixed,pin-sole,128,30,3840,2,43.3244,2954.46,ok
